Tue Apr 19 19:18:59 BST 2016 Temp = 79 *C, Hum = 114 %
Tue Apr 19 19:22:34 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:23:07 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:23:31 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:23:37 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:32:21 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:35:32 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:38:44 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:46:16 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 19:49:08 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:51:14 BST 2016 Temp = 32 *C, Hum = 8 %
Tue Apr 19 19:52:13 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:54:21 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 19:55:31 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 20:00:00 BST 2016 Temp = 0 *C, Hum = 40 %
Tue Apr 19 20:13:34 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 20:19:33 BST 2016 Temp = 0 *C, Hum = 40 %
Tue Apr 19 20:31:23 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 20:37:26 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 20:38:46 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 20:39:03 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 20:43:52 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 20:46:41 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 20:50:15 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 20:51:26 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 20:52:01 BST 2016 Temp = 0 *C, Hum = 40 %
Tue Apr 19 20:52:19 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 20:52:24 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:01:32 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:14:03 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:18:03 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:18:28 BST 2016 Temp = 32 *C, Hum = 8 %
Tue Apr 19 21:19:45 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:20:09 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 21:20:55 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:21:05 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:24:48 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:25:50 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:27:15 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:27:33 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:27:37 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:30:07 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:32:21 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 21:34:36 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:34:46 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:35:57 BST 2016 Temp = 0 *C, Hum = 40 %
Tue Apr 19 21:38:56 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:41:15 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:41:23 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:45:48 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 21:48:06 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:49:24 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 21:57:25 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 21:59:20 BST 2016 Temp = 0 *C, Hum = 40 %
Tue Apr 19 22:00:55 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:07:06 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:09:09 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:11:23 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:15:19 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 22:16:32 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 22:20:25 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:21:56 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:22:14 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:23:05 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 22:28:34 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 22:32:42 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:33:30 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:33:49 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 22:36:32 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:45:28 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:47:07 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:48:44 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:49:18 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:50:25 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:52:37 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:53:28 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:59:42 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 22:59:50 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:03:25 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:03:37 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:04:33 BST 2016 Temp = 22 *C, Hum = 20 %
Tue Apr 19 23:08:43 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 23:12:37 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:15:18 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 23:16:02 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:16:06 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:18:45 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:25:05 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:33:59 BST 2016 Temp = 32 *C, Hum = 8 %
Tue Apr 19 23:35:24 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 23:36:43 BST 2016 Temp = 20 *C, Hum = 20 %
Tue Apr 19 23:37:23 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:37:37 BST 2016 Temp = 22 *C, Hum = 20 %
Tue Apr 19 23:38:13 BST 2016 Temp = 22 *C, Hum = 20 %
Tue Apr 19 23:39:25 BST 2016 Temp = 21 *C, Hum = 20 %
Tue Apr 19 23:40:23 BST 2016 Temp = 20 *C, Hum = 20 %
